attack_id,name,tier,group,selection_reasons,guard_disabled,dodge_bypass,airborne_avoidance,parry_disabled,bullet_ids,behavior_ids,animation_associations,npc_row_count,map_npc_model_count,vanilla_flag_changes,priority_band
2110400,[SACRED][Maliketh] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,2110451;2110452;2110453;2110456;2110457;2110458,221100451;221100452;221100453,c2110:1003030@1.200;c2110:1003030@2.300;c2110:1003030@3.633;c2110:1003031@1.167;c2110:1003035@0.800;c2110:1003035@2.333;c2110:1003035@3.300;c2110:1003038@1.433,8,3,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2110403,[SACRED][Maliketh],U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,2110476;2110479,221100403;221100475,c2110:1003037@1.400;c2110:1003037@1.500;c2110:20010@1.067;c2110:20010@1.133;c2110:20011@0.900;c2110:20011@0.967,8,3,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2110421,[SACRED][Maliketh] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,2110421;2110422;2110432;2110442,221100421;221100432;221100442;221100431,c2110:1003032@3.267,8,3,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2120100,[SACRED][Malenia],U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,200090100,221200100,c2120:1003000@1.233;c2120:1003004@1.533;c2120:1003026@1.533;c2120:3000@1.133,9,2,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2120300,[SACRED][Malenia] Kick,U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,200090300,221200300,c2120:3020@0.967,9,2,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2120643,[SACRED][Malenia] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,2120643,221200640,c2120:3004@1.100;c2120:3006@3.300;c2120:3016@1.867,9,2,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2120652,[SACRED][Malenia] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,2120652,221200650,c2120:3037@0.900,9,2,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2120720,[SACRED][Malenia] Bullet,U,Unapproved screening result,small-floor-probe;small-short-enemy-bullet,0,1,0,1,2120622;2120623;2120624,221200620,,9,2,"{""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",
2130175,[Morgott] Bullet - Puddle Explosion,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2130167;2130177,221300165;221300175,c2130:1003004@2.100;c2130:1003006@2.433;c2130:1003007@2.033;c2130:1003008@2.867;c2130:1003013@1.967;c2130:1003019@2.033;c2130:1003020@2.667;c2130:1003025@1.500;c2130:1003026@6.400;c2130:1003031@2.000;c2130:1003032@2.233;c2130:1003035@2.900;c2130:1020006@1.933,5,3,{},
2130191,[Morgott] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2130193,221300191;221300197;221300198,c2130:1003008@2.767;c2130:3008@2.767;c2130:3009@1.033;c2130:3009@2.033,5,3,{},
2130341,[Morgott] Phase Shift Puddle Explosion,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2130343,221300341;221300345,c2130:3024@4.533,5,3,{},
2130480,[Morgott] Bullet,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2130480,221300480,c2130:1003007@2.000;c2130:1003019@2.000;c2130:1003020@2.667;c2130:1003026@6.400;c2130:2003013@2.000;c2130:3007@2.000;c2130:3019@2.000;c2130:3020@2.667;c2130:3026@6.400,5,3,{},
2130580,[Margit] Thrust Slam,U,Unapproved screening result,name,0,0,0,1,,221300580,c2130:2003008@1.600,5,3,{},
2130730,[Margit] Thrust Slam,U,Unapproved screening result,name,0,0,0,1,,221300730,c2130:2003023@1.600,5,3,{},
2130771,[Margit] Bullet - Hammer Jump,C,Margit hammer impact,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2130771,221300771,c2130:1003031@1.933;c2130:2003026@4.300;c2130:2003027@1.933;c2130:3031@1.933,5,3,{},
2130790,[Margit] Floating Thrust Slam,U,Unapproved screening result,name,0,0,0,1,,221300790,c2130:2003029@1.733,5,3,{},
2140510,[Omen] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2140510,221400510,,42,22,{},
2140511,[Omen] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2140511;2140512;2140513;2140514;2140522;2140523;2140530;205040009;205040010;205040011;205040012;205040013;205040014,221400511;221400512;221400513;221400514;221400530;250400237;250400238;250400239;250400250;250400251;250400252;250400236;221400520;250400235,,61,33,{},
2140520,[Omen] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2140521;205040008,250400236;221400520;250400235,,61,33,{},
2150020,[Lightning Ball],U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2150012;2150013;2150014;2150015,221500010,,11,9,{},
2180100,[Melina] Bullet,D,Ally and holy-seeker false positives,small-short-enemy-bullet,0,0,0,1,2180104,221800100,c2180:3000@0.833,5,1,{},
2190161,[Radagon] Bullet,A,Radagon compact gravity-probe waves,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2190163,221900161,c2190:3006@1.633,2,1,{},P1
2190201,[Radagon] Bullet,B,Radagon wider gravity-probe wave,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2190203,221900201,c2190:3010@1.367,2,1,{},P3
2190245,[Radagon] Bullet,U,Unapproved screening result,airborne-avoidance,0,0,1,1,2190245,221900245,c2190:3014@3.033;c2190:3017@1.367;c2190:3033@1.367,2,1,{},
2190251,[Radagon] Bullet - Holy Spear AoE,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2190251,221900250,c2190:3015@1.633;c2190:3035@0.900,2,1,{},
2190260,[Radagon] Stomp AoE Small,C,Radagon ground/hammer bursts,airborne-avoidance;name,0,0,1,1,,221900260,c2190:3016@0.800,2,1,{},
2190261,[Radagon] Stomp AoE Large,C,Radagon ground/hammer bursts,airborne-avoidance;name,0,0,1,1,2190265,221900265,c2190:3016@0.800,2,1,{},
2190281,[Radagon] Bullet - Flying Holy Slam,A,Radagon compact gravity-probe waves,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,2190283,221900281,c2190:3018@3.500,2,1,{},P1
2190291,[Radagon] Bullet,C,Radagon travelling holy-floor components,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2190291,221900291,c2190:3019@2.233,2,1,{},
2190292,[Radagon] Bullet,B,Radagon delayed floor detonations,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2190296,221900292,c2190:3019@2.200,2,1,{},P3
2190311,[Radagon] Bullet - Spear Placed Explode,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2190311,221900310,c2190:20005@1.667;c2190:3022@1.667;c2190:3034@1.667;c2190:3036@2.133,2,1,{},
2190312,[Radagon] Bullet - Spear Placed Linger,U,Unapproved screening result,airborne-avoidance,0,0,1,1,2190313,221900310,c2190:20005@1.667;c2190:3022@1.667;c2190:3034@1.667;c2190:3036@2.133,2,1,{},
2190331,[Radagon] Bullet - Small Spear Explode,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2190332;2190342,221900330;221900340,c2190:3020@0.800;c2190:3024@0.567;c2190:3025@0.633,2,1,{},
2190361,[Radagon] Bullet - Small Spear Explode,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2190362;2190367,221900360;221900365,c2190:3027@2.667;c2190:3027@2.700;c2190:3027@2.767,2,1,{},
2190371,[Radagon] Bullet - Holy Ground Floor,C,Radagon travelling holy-floor components,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,2190371,221900371,c2190:3028@3.267,2,1,{},
2190372,[Radagon] Bullet - Holy Ground Floor,B,Radagon delayed floor detonations,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,2190376,221900372,c2190:3028@3.267,2,1,{},P3
2190381,[Radagon] Bullet - Holy Ground Floor,C,Radagon travelling holy-floor components,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,2190381,221900381,c2190:3029@3.300,2,1,{},
2190382,[Radagon] Bullet - Holy Ground Floor,B,Radagon delayed floor detonations,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,2190386,221900382;221900401,c2190:3029@3.267,2,1,{},P3
2190391,[Radagon] Bullet - Large Spear Impact,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2190391,221900390,c2190:3030@2.633,2,1,{},
2190420,[Radagon] Bullet - Holy Stomp Attack,C,Radagon ground/hammer bursts,airborne-avoidance;name,0,0,1,1,2190425,221900425,c2190:3031@1.600,2,1,{},
2190430,[Radagon] Bullet - Shattering Ground,U,Unapproved screening result,name,0,0,0,1,2190430;2190440;2190450,221900430;221900440;221900450,c2190:3037@2.267;c2190:3037@4.133;c2190:3037@7.933,2,1,{},
2190440,[Radagon] Bullet - Shattering Ground 2,U,Unapproved screening result,name;small-short-enemy-bullet,0,0,0,1,2190433;2190435;2190443;2190452,221900451;221900430;221900440,c2190:3037@2.267;c2190:3037@4.133;c2190:3037@7.933,2,1,{},
2190510,[Radagon] Bullet - Hammer Shockwave,C,Radagon ground/hammer bursts,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,2190510,221900510,c2190:20004@1.333;c2190:3002@1.333;c2190:3003@1.667;c2190:3008@1.000,2,1,{},
2190520,[Radagon] Bullet - Hammer Holy Shockwave,C,Radagon ground/hammer bursts,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,2190521,221900520,c2190:20004@1.333;c2190:3002@1.333;c2190:3003@1.667;c2190:3008@1.000;c2190:3009@2.300,2,1,{},
2190530,[Radagon] Bullet - Shattering AoE,C,Radagon ground/hammer bursts,airborne-avoidance,0,0,1,1,2190530,221900530,c2190:3037@2.267;c2190:3037@4.133;c2190:3037@7.933,2,1,{},
2200100,[Elden Beast] Bullet - Hand Slam Explosion,U,Unapproved screening result,name,0,0,0,1,2200100,222000100,c2200:3000@1.600,2,1,{},
2200221,[Elden Beast] Bullet - Swipe Wave Explode 1,U,Unapproved screening result,name,0,0,0,1,2200226,222000221;222000222,c2200:3012@2.967;c2200:3029@1.667;c2200:3029@3.600,2,1,{},
2200222,[Elden Beast] Bullet - Swipe Wave Explode 2,U,Unapproved screening result,name,0,0,0,1,2200227,222000223;222000224,c2200:3012@3.200,2,1,{},
2200392,[Elden Beast] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2200397,222000390,c2200:3032@3.500,2,1,{},
2200420,[Elden Beast] Bullet - Ring Push,C,Elden Beast ring push,airborne-avoidance,0,0,1,1,2200422,222000420,c2200:3035@8.600;c2200:3036@11.167;c2200:3036@7.967;c2200:3036@9.467,2,1,{},
2270250,[Giant Crab] Bullet,U,Unapproved screening result,small-short-enemy-bullet,1,0,0,1,2270250,222700250,,23,31,{},
2270260,[Giant Crab] Bullet,U,Unapproved screening result,small-short-enemy-bullet,1,0,0,1,2270260,222700260,,23,31,{},
2500180,[Crucible Knight] Bullet - Stomp,U,Unapproved screening result,name;small-short-enemy-bullet,0,0,0,1,2500180,225000180,c2500:3008@0.800,34,20,{},
2500182,[Crucible Knight] Bullet,A,Crucible Knight foot waves,airborne-avoidance;small-floor-probe;small-short-enemy-bullet,1,1,1,1,2500182,225000182;225000181;225000180,c2500:3008@0.800,34,20,"{""disableGuard"":{""vanilla"":0,""sovereign"":1},""isDisableNoDamage"":{""vanilla"":0,""sovereign"":1}}",P1
2500210,[Crucible Knight] Bullet - Fire Breath,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2500210,225000210,c2500:3016@1.500,34,20,{},
2500220,[Crucible Knight] Bullet - Fire Breath Back,U,Unapproved screening result,airborne-avoidance,0,0,1,1,2500220,225000220,c2500:3018@1.733,34,20,{},
2500221,[Crucible Knight] Bullet - Fire Breath Back,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2500221,225000221;225000220,c2500:3018@1.733,34,20,{},
2500222,[Crucible Knight] Bullet - Fire Breath Back,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2500222,225000222;225000221;225000220,c2500:3018@1.733,34,20,{},
2500240,[Crucible Knight] Bullet,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2500240,225000240,c2500:3022@1.067;c2500:3023@1.067,34,20,{},
2500250,[Crucible Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2500250,225000250,c2500:3025@1.000,34,20,{},
2500252,[Crucible Knight] Bullet,A,Crucible Knight foot waves,airborne-avoidance;small-floor-probe;small-short-enemy-bullet,0,0,1,1,2500252,225000252;225000251;225000250,c2500:3025@1.000,34,20,{},P1
2500271,[Crucible Knight] Bullet,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2500271,225000271,c2500:3028@2.667,34,20,{},
2500440,[Crucible Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2500440,225000440,c2500:1003004@0.767,34,20,{},
2500442,[Crucible Knight] Bullet,A,Crucible Knight foot waves,airborne-avoidance;small-floor-probe;small-short-enemy-bullet,0,0,1,1,2500442,225000442;225000441;225000440,c2500:1003004@0.767,34,20,{},P1
2500481,[Crucible Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2500481,225000481,c2500:1003008@2.667,34,20,{},
2500501,[Crucible Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2500501,225000501,c2500:1003011@2.567,34,20,{},
2500590,[Crucible Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,2500590,225000590,c2500:1003022@0.933,34,20,{},
2500592,[Crucible Knight] Bullet,A,Crucible Knight foot waves,airborne-avoidance;small-floor-probe;small-short-enemy-bullet,0,0,1,1,2500592,225000592;225000591;225000590,c2500:1003022@0.933,34,20,{},P1
2500610,[Crucible Knight] Bullet,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,2500610,225000610,c2500:1003024@1.033;c2500:1003025@1.033,34,20,{},
3000120,[Exile Soldier] Bullet - Firebomb,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3000120;3000121,230000120;230000140,,56,22,{},
3000425,[Exile Soldier] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,3000425,230000425,,56,22,{},
3000440,[Exile Soldier] Bullet - Firebomb,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3000440;3000441,230000440,,56,22,{},
3010135,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010135,230100135,,53,17,{},
3010136,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010136,230100136,,53,17,{},
3010185,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010185,230100185,,53,17,{},
3010225,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010225,230100225,,53,17,{},
3010226,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010226,230100226,,53,17,{},
3010235,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010235,230100235,,53,17,{},
3010245,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010245,230100245,,53,17,{},
3010255,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010255,230100255,,53,17,{},
3010280,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010280;3010281,230100280,,53,17,{},
3010525,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010525,230100525,,53,17,{},
3010795,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,0,3010795,230100795,,53,17,{},
3010815,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,0,3010815,230100815,,53,17,{},
3010820,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010820,230100820,,53,17,{},
3010845,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,0,3010845,230100845,,53,17,{},
3010847,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,0,3010847,230100847,,53,17,{},
3010850,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010850,230100850,,53,17,{},
3010875,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,0,3010875,230100875,,53,17,{},
3010877,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,0,3010877,230100877,,53,17,{},
3010885,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010885,230100885,,53,17,{},
3010925,[Banished Knight] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3010925,230100925,,53,17,{},
3050195,[Commander] Lightning AoE,U,Unapproved screening result,airborne-avoidance,0,0,1,0,,230500195,c3050:3009@1.833;c3050:3016@1.567;c3050:3017@1.833;c3050:3022@1.433,5,2,{},
3050235,[Commander] Lightning AoE,U,Unapproved screening result,airborne-avoidance,0,0,1,0,,230500235,c3050:3013@1.867,5,2,{},
3050245,[Commander] Lightning AoE,U,Unapproved screening result,airborne-avoidance,0,0,1,0,,230500245,c3050:3014@1.367,5,2,{},
3050255,[Commander] Lightning AoE,U,Unapproved screening result,airborne-avoidance,0,0,1,0,,230500255,c3050:3015@3.900,5,2,{},
3061500,[Giant Beast Skeleton] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,0,3061500,230610500,,4,2,{},
3070201,[Dominula Celebrant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3070201,230700201;230700200,,12,11,{},
3070202,[Dominula Celebrant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3070202,230700202;230700201;230700200,,12,11,{},
3070203,[Dominula Celebrant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3070203,230700203;230700202;230700201;230700200,,12,11,{},
3070211,[Dominula Celebrant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3070211,230700211;230700210,,12,11,{},
3070900,[Dominula Celebrant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,1,0,1,3070900,230700900,,12,11,{},
3080130,[Imp] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3080130;3080131;205870130;205870131,230800230;258700230,c3080:3017@1.700;c5870:3017@1.700,89,56,{},
3080131,[Imp] Bullet,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,0,3080132;3080133;3080134;3080135;3080136;205870132;205870133;205870134;205870135;205870136,230800230;258700230,c3080:3017@1.700;c5870:3017@1.700,89,56,{},
3100140,[Elemer of the Briar] Grab,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3100420;3100421,231000140;231000420,c3100:3008@2.200,6,5,{},
3100272,[Elemer of the Briar] S1,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3100272,231000273;231000272,c3100:3024@0.833;c3100:3024@0.900,6,5,{},
3100400,[Elemer of the Briar] Shield Slam Ground AoE,B,Elemer shield-ground AoE,name,0,0,0,1,,231000400,c3100:3003@2.200;c3100:3010@1.233;c3100:3021@1.267,6,5,{},
3150501,[Night's Cavalry] Horse Summon Shockwave,U,Unapproved screening result,name,1,0,0,1,,231500501,c3150:20009@1.567;c3150:20009@1.600;c3150:20009@1.633;c3150:20009@1.667;c3150:20009@1.700;c3150:20009@1.733;c3150:20009@1.767;c3150:20009@1.800;c3150:20009@1.833;c3150:20009@1.867;c3150:20009@1.900;c3150:3025@1.567;c3150:3025@1.600;c3150:3025@1.633;c3150:3025@1.667;c3150:3025@1.700;c3150:3025@1.733;c3150:3025@1.767;c3150:3025@1.800;c3150:3025@1.833;c3150:3025@1.867;c3150:3025@1.900,13,10,{},
3150510,[Night's Cavalry] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3150510,231500510,,13,10,{},
3170900,[Albinauric Archer] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3170011;3170031;3170211;3170231;3170251;3170271;3170291;3170371;3170391;3170500;3170501;3170502;3170503;3170504;3170550;3170551;3170560;3170561,231700111;231700131;231700311;231700331;231700351;231700371;231700391;231700471;231700491;231700500;231700501;231700502;231700503,,8,6,{},
3180055,[Dog] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3180056,231800155,,6,5,{},
3200000,[Nomadic Merchant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3200000;3200001;3200002;3200010;3200011;3200400;3200401;3200410;3200411,232000100;232000110;232000500;232000510,,55,22,{},
3200001,[Nomadic Merchant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3200003,232000100,,55,22,{},
3200011,[Nomadic Merchant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3200013,232000110,,55,22,{},
3200401,[Nomadic Merchant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3200403,232000500,,55,22,{},
3200411,[Nomadic Merchant] Bullet,U,Unapproved screening result,small-short-enemy-bullet,0,0,0,1,3200413,232000510,,55,22,{},
3250141,[Draconic Tree Sentinel] Bullet - Slam AoE,C,Draconic Tree Sentinel impacts,airborne-avoidance;name;small-short-enemy-bullet,0,0,1,1,3250141,232500141,c3250:3004@1.533,4,2,{},
3250161,[Draconic Tree Sentinel] Bullet,U,Unapproved screening result,airborne-avoidance,0,0,1,1,3250161,232500161,c3250:3006@2.867,4,2,{},
3250181,[Draconic Tree Sentinel] Bullet,C,Draconic Tree Sentinel impacts,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,3250181,232500181,c3250:3010@1.800,4,2,{},
3250201,[Draconic Tree Sentinel] Bullet - Fireball AoE,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,3250201,232500201;232500200,c3250:3015@1.233,4,2,{},
3250211,[Draconic Tree Sentinel] Bullet - Down Fireball AoE,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,3250211,232500211;232500210,c3250:3016@1.333,4,2,{},
3250291,[Draconic Tree Sentinel] Bullet,C,Draconic Tree Sentinel impacts,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,3250291,232500291,c3250:3025@0.767,4,2,{},
3250301,[Draconic Tree Sentinel] Bullet,C,Draconic Tree Sentinel impacts,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,3250301,232500301,c3250:3026@1.333,4,2,{},
3250311,[Draconic Tree Sentinel] Bullet,U,Unapproved screening result,airborne-avoidance;small-short-enemy-bullet,0,0,1,1,3250311,232500311,c3250:3029@1.367,4,2,{},
