Asset,Entity ID,First light entity ID,First internal region ID,Gaze flag,Flame FXR,Socket,Original offset,New offset
AEG020_992_2111,18004165,18004525,11425,1055422963,7506110,200,50,61
AEG023_875_2023,18004166,18004530,11430,1055422963,7506110,200,50,61
AEG023_875_2020,18004167,18004535,11435,1055422963,7506110,200,50,61
AEG020_992_2115,18004168,18004540,11440,1055422963,7506110,200,50,61
AEG023_875_2024,18004169,18004545,11445,1055422963,7506110,200,50,61
AEG023_875_2021,18004170,18004550,11450,1055422963,7506110,200,50,61
AEG020_992_2113,18004171,18004555,11455,1055422963,7506110,200,50,61
AEG020_992_2116,18004172,18004560,11460,1055422963,7506110,200,50,61
AEG004_692_2010,18004173,18004565,11465,1055422963,7506110,200,50,61
AEG004_692_2011,18004174,18004570,11470,1055422963,7506110,200,50,61
AEG023_862_2017,18004175,18004575,11475,1055422963,None,201,3,61
AEG004_692_2009,18004176,18004580,11480,1055422963,7506110,200,50,61
AEG020_992_2110,18004177,18004585,11485,1055422963,7506110,200,50,61
AEG023_875_2017,18004178,18004590,11490,1055422963,7506110,200,50,61
AEG023_875_2018,18004179,18004595,11495,1055422963,7506110,200,50,61
AEG023_873_2010,18004180,18004600,11500,1055422963,7506110,200,50,61
AEG023_872_2006,18004181,18004605,11505,1055422963,None,201,3,61
